Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Dumbbell Goblet Curtsey Lunge,Strength,Legs,Lunge,Intermediate,Dumbbell,"Perform a curtsey lunge while holding a dumbbell, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Adductors,"Core, Ankle Stabilizers",dumbbell goblet curtsey lunge,strength,legs,dumbbell,intermediate,"Perform a curtsey lunge while holding a dumbbell, focusing on your legs.",6.0
Cable Forward Lunge,Strength,Legs,Lunge,Intermediate,Cable Machine,"Perform a forward lunge with a cable, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength and coordination.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",cable forward lunge,strength,legs,cable machine,intermediate,"Perform a forward lunge with a cable, focusing on your legs.",6.0
Kneeling Cable Pull Through,Strength,Glutes,Pull,Intermediate,Cable Machine,"Pull the cable through your legs while kneeling, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",kneeling cable pull through,strength,glutes,cable machine,intermediate,"Pull the cable through your legs while kneeling, focusing on your glutes.",6.0
Cable Lunge,Strength,Legs,Lunge,Intermediate,Cable Machine,"Perform lunges with a cable, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength and coordination.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",cable lunge,strength,legs,cable machine,intermediate,"Perform lunges with a cable, focusing on your legs.",6.0
Cable Front Squat,Strength,Legs,Squat,Intermediate,Cable Machine,"Perform a front squat with a cable, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",cable front squat,strength,legs,cable machine,intermediate,"Perform a front squat with a cable, focusing on your legs.",6.0
Barbell One Arm Floor Press,Strength,Chest,Press,Intermediate,Barbell,"Perform a floor press with one arm, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back flat.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",barbell one arm floor press,strength,chest,barbell,intermediate,"Perform a floor press with one arm, focusing on your chest.",6.0
Barbell Alternate Biceps Curl,Strength,Biceps,Curl,Intermediate,Barbell,"Perform curls alternately with a barbell, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",barbell alternate biceps curl,strength,biceps,barbell,intermediate,"Perform curls alternately with a barbell, focusing on your biceps.",6.0
Weighted Neutral Wrist Curl,Strength,Forearms,Curl,Intermediate,Weight Plate,"Perform wrist curls with a weight plate, focusing on your forearms.",Use different weights for variation.,Keep your core engaged.,Builds forearm strength.,Controlled.,Main workout,Strength,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers",weighted neutral wrist curl,strength,forearms,weight plate,intermediate,"Perform wrist curls with a weight plate, focusing on your forearms.",6.0
Incline Chest Press Machine,Strength,Chest,Press,Intermediate,Chest Press Machine,"Perform a chest press on an incline machine, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back flat.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",incline chest press machine,strength,chest,chest press machine,intermediate,"Perform a chest press on an incline machine, focusing on your chest.",6.0
Incline Cable Fly,Strength,Chest,Fly,Intermediate,Cable Machine,"Perform a chest fly on an incline with cables, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back flat.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",incline cable fly,strength,chest,cable machine,intermediate,"Perform a chest fly on an incline with cables, focusing on your chest.",6.0
Bodyweight Kneeling Sissy Squat,Strength,Legs,Squat,Intermediate,,"Perform a sissy squat while kneeling, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and coordination.,Controlled.,Main workout,Strength,Quadriceps,,Hamstrings,"Core, Lower Back",bodyweight kneeling sissy squat,strength,legs,nan,intermediate,"Perform a sissy squat while kneeling, focusing on your legs.",6.0
Wide Grip Barbell Bent Over Row Plus,Strength,Back,Row,Intermediate,Barbell,"Perform a bent over row with a wide grip, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back",wide grip barbell bent over row plus,strength,back,barbell,intermediate,"Perform a bent over row with a wide grip, focusing on your back.",6.0
Wide Grip Alternate Barbell Bent Over Row Plus,Strength,Back,Row,Intermediate,Barbell,"Perform a bent over row with a wide grip, alternating sides, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back",wide grip alternate barbell bent over row plus,strength,back,barbell,intermediate,"Perform a bent over row with a wide grip, alternating sides, focusing on your back.",6.0
Trap Bar Jump Squat,Strength,Legs,Squat,Intermediate,Trap Bar,"Perform a jump squat with a trap bar, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength and power.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",trap bar jump squat,strength,legs,trap bar,intermediate,"Perform a jump squat with a trap bar, focusing on your legs.",6.0
Box Jump to Pistol Squat,Strength,Legs,Jump,Advanced,Box,"Perform a box jump followed by a pistol squat, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and balance.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",box jump to pistol squat,strength,legs,box,advanced,"Perform a box jump followed by a pistol squat, focusing on your legs.",6.0
Box Jump 2 to 1,Strength,Legs,Jump,Advanced,Box,"Perform a box jump with two legs, landing on one leg, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and balance.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",box jump 2 to 1,strength,legs,box,advanced,"Perform a box jump with two legs, landing on one leg, focusing on your legs.",6.0
Box Jump 1 to 2,Strength,Legs,Jump,Advanced,Box,"Perform a box jump with one leg, landing on two legs, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and balance.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",box jump 1 to 2,strength,legs,box,advanced,"Perform a box jump with one leg, landing on two legs, focusing on your legs.",6.0
Single Leg Box Jump,Strength,Legs,Jump,Advanced,Box,"Perform a box jump with one leg, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and balance.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",single leg box jump,strength,legs,box,advanced,"Perform a box jump with one leg, focusing on your legs.",6.0
Bow Pose,Flexibility,Back,Stretch,Beginner,,"Perform a bow pose, focusing on your back.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves back flexibility.,Static.,Cool down,Stability,Erector Spinae,Glutes,Rectus Abdominis,"Core, Lower Back",bow pose,flexibility,back,nan,beginner,"Perform a bow pose, focusing on your back.",3.0
Cat Cow Pose,Flexibility,Back,Stretch,Beginner,,"Perform cat and cow poses, focusing on your back.",Increase stretch time for more intensity.,Keep your core engaged.,Improves back flexibility.,Dynamic.,Cool down,Stability,Erector Spinae,Glutes,Rectus Abdominis,"Core, Lower Back",cat cow pose,flexibility,back,nan,beginner,"Perform cat and cow poses, focusing on your back.",3.0
Wall Slides,Flexibility,Shoulders,Slide,Beginner,,"Slide your arms up the wall, focusing on your shoulders.",Increase speed for more intensity.,Keep your core engaged.,Improves shoulder mobility.,Controlled.,Cool down,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",wall slides,flexibility,shoulders,nan,beginner,"Slide your arms up the wall, focusing on your shoulders.",3.0
Kneeling T-spine Rotation,Flexibility,Back,Rotation,Beginner,,"Rotate your thoracic spine while kneeling, focusing on your back.",Increase speed for more intensity.,Keep your core engaged.,Improves thoracic spine mobility.,Controlled.,Cool down,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",kneeling t-spine rotation,flexibility,back,nan,beginner,"Rotate your thoracic spine while kneeling, focusing on your back.",3.0
Plate Loaded Shoulder Press,Strength,Shoulders,Press,Intermediate,Plate Loaded Machine,"Perform a shoulder press on a plate-loaded machine, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",plate loaded shoulder press,strength,shoulders,plate loaded machine,intermediate,"Perform a shoulder press on a plate-loaded machine, focusing on your shoulders.",6.0
Toe Extensor Stretch,Flexibility,Feet,Stretch,Beginner,,"Stretch your toe extensors by flexing your toes upwards, focusing on flexibility.",Increase stretch time for more intensity.,Keep your core engaged.,Improves toe flexibility.,Static.,Cool down,Stability,Toe Extensors,,Toe Flexors,"Core, Lower Back",toe extensor stretch,flexibility,feet,nan,beginner,"Stretch your toe extensors by flexing your toes upwards, focusing on flexibility.",3.0
Standing Barbell Rollout,Strength,Core,Rollout,Advanced,Barbell,"Roll the barbell out in front of you while standing, focusing on your core.",Use a stability ball for less intensity.,Keep your core tight and back flat.,Builds core strength and stability.,Controlled.,Main workout,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back",standing barbell rollout,strength,core,barbell,advanced,"Roll the barbell out in front of you while standing, focusing on your core.",6.0
Assisted Triceps Dips,Strength,Triceps,Dip,Beginner,Dip Machine,"Perform triceps dips with assistance, focusing on your triceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",assisted triceps dips,strength,triceps,dip machine,beginner,"Perform triceps dips with assistance, focusing on your triceps.",6.0
Side Plank Oblique Crunch,Strength,Core,Crunch,Intermediate,,"Perform a crunch while in a side plank position, focusing on your obliques.",Increase speed for more intensity.,Keep your core tight and body straight.,Builds core strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",side plank oblique crunch,strength,core,nan,intermediate,"Perform a crunch while in a side plank position, focusing on your obliques.",6.0
Reverse Chest Stretch,Flexibility,Chest,Stretch,Beginner,,"Stretch your chest by holding your arms behind you, focusing on flexibility.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves chest flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers",reverse chest stretch,flexibility,chest,nan,beginner,"Stretch your chest by holding your arms behind you, focusing on flexibility.",3.0
Medicine Ball-Sit-up Throw,Strength,Core,Throw,Intermediate,Medicine Ball,"Perform a sit-up and throw a medicine ball, focusing on your core.",Use different weights for variation.,Keep your core engaged.,Builds core strength and power.,Dynamic.,Main workout,Power,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back",medicine ball-sit-up throw,strength,core,medicine ball,intermediate,"Perform a sit-up and throw a medicine ball, focusing on your core.",6.0
Standing Dorsiflexion,Strength,Feet,Flexion,Intermediate,,"Flex your toes upwards while standing, focusing on your feet.",Increase speed for more intensity.,Keep your core engaged.,Builds foot strength.,Controlled.,Main workout,Strength,Tibialis Anterior,,Gastrocnemius,"Core, Lower Back",standing dorsiflexion,strength,feet,nan,intermediate,"Flex your toes upwards while standing, focusing on your feet.",6.0
